postID,title,description,date,group
1,Thị trường CK 2025 kỳ vọng tăng trưởng sau Tết,"Nhóm ngân hàng dự kiến dẫn dắt VN-Index, cùng khởi sắc của thép, bán lẻ, thực phẩm; chuyên gia lạc quan về nâng hạng thị trường và nhiều cơ sở để lạc quan.",2025-02-01T16:00:00+07:00,Thị trường
2,Chính sách Trump 2.0 có thể gây phân mảnh kinh tế toàn cầu,"Việc ông Trump tái đắc cử có thể đánh dấu dịch chuyển chính sách thương mại Mỹ, gây phân mảnh kinh tế thế giới; ông Trump cũng thảo luận ""rất nghiêm túc"" với Nga về Ukraine.",2025-02-01T16:00:00+07:00,Thế giới
3,"Lạm phát Mỹ còn xa mục tiêu 2%, Fed dự kiến giữ nguyên lãi suất","Thước đo lạm phát ưa thích của Fed tăng khớp dự báo nhưng vẫn xa mục tiêu 2%, quan chức Fed ra tín hiệu tiếp tục 'án binh' lãi suất.",2025-02-01T16:00:00+07:00,Thế giới
4,"Chuyên gia khuyên thay đổi thói quen chi tiêu, tiết kiệm năm 2025","Cần bỏ 4 thói quen tài chính không tốt, áp dụng 8 cách chi tiêu/tiết kiệm mới để kiểm soát tài chính, sử dụng tiền lì xì hiệu quả thay vì cất két.",2025-02-01T16:00:00+07:00,Tài chính
5,Tỷ giá trung tâm USD/VND ngày 1/2 giữ ở mức 24.325 đồng,"Dù USD thế giới bật tăng mạnh do chính sách thuế quan, tỷ giá trung tâm trong nước không đổi.",2025-02-01T16:00:00+07:00,Tài chính
6,AI đang định hình lại lĩnh vực tài chính,"71% công ty tài chính đã tích hợp AI vào quy trình để ra quyết định nhanh và thông minh hơn, thay đổi cách vận hành thế giới tài chính.",2025-02-01T16:00:00+07:00,Kinh tế
7,"Đẩy nhanh tiến độ sân bay Long Thành, cao tốc Bắc-Nam",Thủ tướng nêu mốc tiến độ nhiều nhiệm vụ liên quan dự án sân bay Long Thành GĐ1; thi công xuyên Tết cao tốc Bắc-Nam đoạn qua Quảng Bình để đảm bảo tiến độ.,2025-02-01T16:00:00+07:00,Kinh tế
8,Giá cả hàng hóa Tết ổn định nhờ nguồn cung dồi dào,"Thị trường Tết không có hiện tượng khan hàng, sốt giá do nguồn cung tốt và người dân thay đổi thói quen sang mua sắm tiết kiệm, chi tiêu hợp lý.",2025-02-01T16:00:00+07:00,Kinh tế
9,"Chính sách mới về giáo dục, bảo hiểm, thuế có hiệu lực từ tháng 2/2025",Các quy định mới bao gồm phạt vi phạm hành chính kinh doanh bảo hiểm tới 200 triệu đồng có hiệu lực từ 02/2025.,2025-02-01T16:00:00+07:00,Kinh tế
10,"Kinh tế Việt Nam 2024 tăng 7,1%, dự kiến đạt 500 tỷ USD năm 2025","Tăng trưởng GDP 2024 (7,1%) vượt mục tiêu (6-6,5%), dự báo quy mô kinh tế đạt 500 tỷ USD cuối năm 2025 với tốc độ 6-7%/năm và bứt phá mạnh mẽ.",2025-02-01T16:00:00+07:00,Kinh tế
11,"Bình Dương, Tây Ninh hút mạnh FDI đầu năm 2025","Bình Dương thu hút 1,2 tỷ USD đầu năm (tổng 2024-1/2025 hơn 3 tỷ USD); Tây Ninh thu hút 3 dự án FDI hơn 100 triệu USD tháng 1/2025 (tổng 394 dự án, 10.203 triệu USD).",2025-02-01T16:00:00+07:00,Kinh tế
12,Giá nhà ở xã hội năm 2025 có thể điều chỉnh tăng,"Dù là phân khúc sáng giá đáp ứng nhu cầu ở thực, giá nhà ở xã hội dự kiến điều chỉnh do chi phí đầu vào thay đổi.",2025-02-01T16:00:00+07:00,Bất động sản
13,Phạt nặng hành vi bán đất không sổ đỏ,"Cá nhân cố tình bán đất không sổ đỏ hoặc đang tranh chấp bị phạt tới 50 triệu đồng, tổ chức bị phạt tới 100 triệu đồng theo Nghị định 123.",2025-02-01T16:00:00+07:00,Bất động sản
14,Thị trường BĐS dự báo khởi sắc từ quý 2/2025,"Tín hiệu từ lãi suất, nguồn cung cải thiện, giá tăng và niềm tin người mua cho thấy BĐS sẽ vào chu kỳ tăng trưởng bền vững mới từ Q2/2025.",2025-02-01T16:00:00+07:00,Bất động sản
15,Giá cà phê tăng mạnh,Bản tin nông sản ngày 1/2 ghi nhận giá cà phê tăng mạnh.,2025-02-01T16:00:00+07:00,Hàng hóa
16,"Giá dầu, kim loại công nghiệp giảm, xăng trong nước có thể hạ","Giá dầu, bạc, đồng, nhôm, kẽm (thấp nhất 4 tháng), khí tự nhiên (thấp nhất 8 tuần) giảm ngày 31/1; giá xăng dầu trong nước dự kiến giảm theo thế giới; thị trường dầu 2025 chịu tác động từ khí hậu và địa chính trị.",2025-02-01T16:00:00+07:00,Hàng hóa
17,"Giá vàng vượt 2.800 USD/ounce, dự báo tiếp tục ""nóng""","Giá vàng tăng mạnh dịp Tết lên mức cao nhất mọi thời đại, vượt 2.800 USD/ounce ngày 31/1 và bạc tăng 4%, dự báo tăng vọt tháng 2 do lo ngại thuế quan.",2025-02-01T16:00:00+07:00,Hàng hóa
18,"Nhà đầu tư CK 2025 quan tâm công nghệ, ngân hàng","Giới đầu tư kỳ vọng và gom giữ nhóm cổ phiếu công nghệ, ngân hàng; cần phân bổ linh hoạt danh mục theo khẩu vị rủi ro và biến động thị trường.",2025-02-01T16:00:00+07:00,Thị trường
19,Thanh khoản CK dự kiến hồi phục mạnh sau Tết,"Thanh khoản dự báo tăng mạnh trở lại, trung bình 20.000 tỉ đồng/phiên; việc nâng hạng thị trường chứng khoán được kỳ vọng sẽ hấp dẫn dòng vốn ngoại quay trở lại.",2025-02-01T16:00:00+07:00,Thị trường
20,Cao tốc 17.000 tỷ nối TP HCM sắp triển khai,Cao tốc 4 làn nối TP HCM với tỉnh định hướng lên TP trực thuộc trung ương dự kiến hoàn thành sau 36 tháng.,2025-02-01T16:00:00+07:00,Bất động sản
21,"Lãi suất cho vay 2025 sẽ ra sao, Agribank có lãi suất cao nhất","Lãi suất cho vay 2025 được nhiều người quan tâm, Agribank có lãi suất huy động cao nhất 24 tháng.",2025-02-02T16:00:00+07:00,Chủ đề Tài chính
22,"Xuất khẩu hàng hóa nhộn nhịp, Việt Nam xuất siêu CPTPP","Xuất khẩu hàng hóa nhộn nhịp đầu năm, Việt Nam liên tục xuất siêu sang thị trường CPTPP.",2025-02-02T16:00:00+07:00,Chủ đề Kinh tế
23,HOSE-Index 4.0 tăng chất cho thị trường chứng khoán,"Bộ chỉ số HOSE-Index 4.0 có sự nâng cao về chất lượng, giúp thị trường chứng khoán phát triển.",2025-02-02T16:00:00+07:00,Chủ đề Thị trường
24,"Đẩy nhanh các dự án điện, tăng trưởng GDP 8% năm 2025","Chính phủ yêu cầu tăng trưởng GDP 8% năm 2025, cần bổ sung 10-12 nghìn MW nguồn điện mỗi năm.",2025-02-02T16:00:00+07:00,Chủ đề Kinh tế
25,Các tin tức kinh tế đáng chú ý,"Giá vàng thế giới tăng, giá xăng dầu giảm, thị trường trái phiếu doanh nghiệp thuận lợi, và các quy định mới về biển số xe.",2025-02-02T16:00:00+07:00,Chủ đề Kinh tế
